#testcaseName|operationName|operationID|inputClient1|inputClient2|expectedOutput
Summe1|Summe|sum|30|20|50
Summe2|Summe|sum|33|44|77
Summe3|Summe|sum|91|23|114
Multiplikation1|Multiplikation|multi|7|7|49
Multiplikation2|Multiplikation|multi|21|37|777
Multiplikation3|Multiplikation|multi|0|10|0
Division1|Division|div|14|2|7
Valentine1|Valentine|valentine|-1|-1|1
Abstimmung1|Abstimmung|vote_person|-1|-1|2,0,0,0
Wahl1|Wahl|vote_gpu|-1|-1|6,6,6,6
Threshold1|Threshold|threshold|44|77|1
Threshold2|Threshold|threshold|51|88|2
Threshold3|Threshold|threshold|50|44|0
SumThreshold1|SumThreshold|sum_threshold|77|44|1
SumThreshold2|SumThreshold|sum_threshold|40|11|1
SumThreshold3|SumThreshold|sum_threshold|40|10|0
Standardabweichung1|Standardabweichung|standard_deviation|77|77|0
